metropole,type_local,model,best_score_cv_search,best_params,rmse,score_r2_test,error_prix_actualise_median,error_prix_actualise_mean,shape
Toulouse Métropole,Maison,linear,0.45506971615290714,{'poly_features__degree': 1},718.3834848461697,-0.4723779944658073,12.23603,16.190235,"(13655, 38)"
Montpellier Méditerranée Métropole,Maison,random_forest,0.3607076346879164,{'rd__n_estimators': 100},731.7145165675922,-0.762918501206233,12.260099,15.342752,"(8873, 37)"
Montpellier Méditerranée Métropole,Maison,xgboost,0.3622298100970626,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",722.2441563436334,-0.7192272234845942,12.444958,15.258312,"(8873, 37)"
Rennes Métropole,Maison,random_forest,0.6579006212651834,{'rd__n_estimators': 200},660.055528282086,0.15562663918534236,12.448458,14.728066,"(11379, 36)"
Métropole du Grand Paris,Maison,xgboost,0.701772064276847,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",1266.9139123748012,0.44470774914510425,12.506279,16.053561,"(57275, 36)"
Métropole du Grand Paris,Maison,random_forest,0.689475342107866,{'rd__n_estimators': 200},1299.4516833896428,0.4141290342336491,12.668843,16.4144,"(57275, 36)"
Métropole de Lyon,Maison,random_forest,0.4642999517373192,{'rd__n_estimators': 200},1001.1179475314982,-0.5919193311790527,12.693497,16.058535,"(12173, 36)"
Rennes Métropole,Appartement,random_forest,0.6339548316532705,{'rd__n_estimators': 200},642.8935819227102,0.06405154055312556,12.921456,15.230484,"(23491, 35)"
Montpellier Méditerranée Métropole,Maison,linear,0.32189647357581613,{'poly_features__degree': 1},756.5199072641709,-1.6045450110747033,12.982185,16.051789,"(8873, 37)"
Rennes Métropole,Appartement,xgboost,0.6432702772789741,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",637.6487038006267,-0.0491610294945779,13.195802,15.167785,"(23491, 35)"
Rennes Métropole,Appartement,linear,0.5874719833353702,{'poly_features__degree': 1},647.5767046195408,-0.13973763350967938,13.216991,15.377753,"(23491, 35)"
Métropole de Lyon,Maison,xgboost,0.4752664730765343,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",992.9184476912178,-0.5017741376932667,13.39886,16.05523,"(12173, 36)"
Métropole Européenne de Lille,Maison,random_forest,0.4822189882264231,{'rd__n_estimators': 200},566.071122784569,-0.15773228587706067,13.816207,17.594214,"(49869, 38)"
Métropole de Lyon,Maison,linear,0.41458922009049276,{'poly_features__degree': 1},1073.5957622668052,-1.1749085522928189,14.035514,17.086962,"(12173, 36)"
Métropole Européenne de Lille,Maison,xgboost,0.5012169813504395,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",562.659209708523,-0.2366430887661355,14.142089,17.670513,"(49869, 38)"
Métropole Nice Côte d'Azur,Maison,random_forest,0.5199939138167554,{'rd__n_estimators': 200},1446.386026768443,-0.04725918033849341,17.314869,24.483689,"(3712, 39)"
